face_happy,face_sad,face_angry,face_fear,face_surprise,face_neutral,scroll_speed,time_spent,interaction_count,quiz_response_time,label
0.586,0.128,0.005,0.94,0.575,0.801,0.457,0.863,0.581,0.221,Focused
0.905,0.077,0.192,0.196,0.069,0.755,0.393,0.783,0.773,0.482,Focused
0.023,0.064,0.169,0.814,0.282,0.64,0.205,0.638,0.842,0.221,Focused
0.177,0.161,0.056,0.751,0.807,0.647,0.409,0.852,0.939,0.421,Focused
0.429,0.186,0.172,0.751,0.755,0.996,0.324,0.749,0.888,0.302,Focused
0.011,0.179,0.078,0.905,0.091,0.641,0.471,0.802,0.913,0.296,Focused
0.329,0.09,0.059,0.673,0.752,0.728,0.485,0.98,0.787,0.39,Focused
0.888,0.11,0.088,0.351,0.117,0.917,0.437,0.636,0.747,0.217,Focused
0.822,0.14,0.015,0.706,0.081,0.657,0.428,0.847,0.551,0.225,Focused
0.753,0.189,0.197,0.376,0.084,0.634,0.496,0.75,0.685,0.444,Focused
0.469,0.099,0.002,0.056,0.119,0.911,0.368,0.77,0.953,0.233,Focused
0.869,0.075,0.057,0.224,0.963,0.647,0.395,0.898,0.792,0.489,Focused
0.554,0.199,0.015,0.969,0.523,0.605,0.491,0.617,0.946,0.358,Focused
0.281,0.18,0.009,0.95,0.89,0.852,0.409,0.782,0.814,0.375,Focused
0.078,0.071,0.117,0.974,0.986,0.782,0.386,0.711,0.594,0.339,Focused
0.823,0.033,0.182,0.95,0.726,0.879,0.361,0.724,0.907,0.405,Focused
0.811,0.005,0.075,0.987,0.15,0.845,0.325,0.973,0.933,0.214,Focused
0.273,0.094,0.083,0.056,0.865,0.838,0.314,0.988,0.921,0.451,Focused
0.247,0.189,0.17,0.451,0.129,0.925,0.5,0.999,0.778,0.431,Focused
0.672,0.072,0.023,0.52,0.772,0.982,0.382,0.691,0.836,0.385,Focused
0.029,0.081,0.027,0.755,0.62,0.808,0.456,0.821,0.78,0.463,Focused
0.437,0.118,0.078,0.904,0.348,0.882,0.264,0.655,0.507,0.305,Focused
0.927,0.19,0.029,0.492,0.258,0.806,0.435,0.759,0.811,0.459,Focused
0.129,0.048,0.015,0.128,0.152,0.784,0.494,0.797,0.664,0.39,Focused
0.172,0.095,0.134,0.192,0.041,0.656,0.392,0.673,0.673,0.469,Focused
0.364,0.092,0.041,0.503,0.69,0.668,0.284,0.671,0.544,0.236,Focused
0.277,0.184,0.012,0.806,0.748,0.616,0.44,0.851,0.541,0.462,Focused
0.747,0.074,0.093,0.037,0.252,0.674,0.263,0.748,0.742,0.385,Focused
0.242,0.089,0.107,0.269,0.377,0.885,0.469,0.805,0.766,0.232,Focused
0.679,0.178,0.119,0.789,0.498,0.608,0.297,0.685,0.664,0.236,Focused
0.363,0.026,0.057,0.646,0.571,0.635,0.361,0.835,0.873,0.329,Focused
0.161,0.031,0.049,0.187,0.285,0.742,0.496,0.842,0.619,0.231,Focused
0.398,0.196,0.022,0.969,0.866,0.669,0.469,0.632,0.762,0.323,Focused
0.28,0.111,0.114,0.769,0.187,0.927,0.277,0.668,0.834,0.479,Focused
0.581,0.122,0.058,0.154,0.481,0.729,0.328,0.803,0.621,0.234,Focused
0.81,0.198,0.064,0.255,0.682,0.813,0.216,0.735,0.567,0.219,Focused
0.965,0.186,0.166,0.124,0.731,0.904,0.379,0.789,0.706,0.305,Focused
0.795,0.168,0.028,0.202,0.164,0.975,0.254,0.627,0.871,0.372,Focused
0.817,0.175,0.078,0.439,0.377,0.666,0.444,0.866,0.762,0.308,Focused
0.544,0.18,0.077,0.906,0.624,0.785,0.29,0.899,0.751,0.27,Focused
0.533,0.159,0.124,0.894,0.789,0.647,0.482,0.851,0.667,0.242,Focused
0.877,0.114,0.152,0.342,0.821,0.661,0.294,0.699,0.872,0.21,Focused
0.722,0.03,0.046,0.72,0.641,0.644,0.454,0.651,0.699,0.439,Focused
0.401,0.182,0.117,0.462,0.947,0.878,0.363,0.701,0.673,0.254,Focused
0.565,0.174,0.186,0.697,0.922,0.661,0.376,0.802,0.806,0.205,Focused
0.926,0.147,0.187,0.451,0.113,0.883,0.246,0.831,0.803,0.327,Focused
0.399,0.104,0.118,0.055,0.335,0.994,0.452,0.65,0.96,0.461,Focused
0.347,0.184,0.069,0.738,0.452,0.921,0.201,0.733,0.699,0.361,Focused
0.362,0.084,0.183,0.581,0.632,0.69,0.336,0.656,0.588,0.35,Focused
0.997,0.083,0.017,0.502,0.595,0.605,0.399,0.671,0.981,0.245,Focused
0.472,0.038,0.007,0.565,0.066,0.627,0.425,0.684,0.949,0.262,Focused
0.182,0.112,0.031,0.862,0.946,0.91,0.336,0.81,0.72,0.32,Focused
0.659,0.031,0.143,0.027,0.222,0.749,0.281,0.858,0.704,0.208,Focused
0.238,0.036,0.131,0.099,0.243,0.692,0.402,0.608,0.552,0.44,Focused
0.896,0.041,0.059,0.013,0.086,0.889,0.457,0.932,0.699,0.4,Focused
0.342,0.179,0.163,0.259,0.38,0.683,0.208,0.673,0.792,0.326,Focused
0.948,0.087,0.059,0.764,0.14,0.836,0.28,0.85,0.705,0.366,Focused
0.542,0.004,0.054,0.633,0.258,0.947,0.346,0.958,0.9,0.328,Focused
0.914,0.054,0.004,0.118,0.577,0.656,0.45,0.994,0.763,0.252,Focused
0.9,0.002,0.027,0.874,0.597,0.71,0.366,0.861,0.915,0.262,Focused
0.047,0.077,0.104,0.166,0.738,0.84,0.4,0.67,0.957,0.326,Focused
0.297,0.071,0.144,0.566,0.476,0.633,0.381,0.698,0.695,0.287,Focused
0.051,0.052,0.119,0.496,0.597,0.865,0.481,0.893,0.607,0.209,Focused
0.435,0.099,0.138,0.246,0.819,0.734,0.431,0.643,0.538,0.418,Focused
0.137,0.018,0.183,0.95,0.446,0.92,0.408,0.709,0.795,0.308,Focused
0.849,0.674,0.138,0.25,0.489,0.298,0.362,0.642,0.42,0.817,Confused
0.568,0.688,0.036,0.915,0.034,0.378,0.383,0.612,0.212,0.995,Confused
0.845,0.879,0.172,0.319,0.829,0.242,0.377,0.683,0.491,0.719,Confused
0.725,0.615,0.068,0.065,0.315,0.309,0.169,0.423,0.236,0.839,Confused
0.024,0.816,0.047,0.87,0.021,0.285,0.196,0.666,0.388,0.916,Confused
0.402,0.95,0.153,0.48,0.628,0.205,0.382,0.699,0.44,0.812,Confused
0.11,0.949,0.048,0.355,0.287,0.321,0.33,0.526,0.325,0.994,Confused
0.68,0.719,0.077,0.218,0.95,0.228,0.113,0.696,0.205,0.693,Confused
0.167,0.915,0.123,0.991,0.232,0.24,0.225,0.683,0.464,0.636,Confused
0.186,0.977,0.044,0.78,0.35,0.153,0.282,0.469,0.354,0.86,Confused
0.758,0.623,0.079,0.696,0.154,0.152,0.365,0.698,0.478,0.988,Confused
0.877,0.926,0.018,0.266,0.13,0.274,0.167,0.578,0.361,0.69,Confused
0.408,0.955,0.017,0.373,0.26,0.265,0.359,0.597,0.443,0.982,Confused
0.495,0.889,0.17,0.481,0.592,0.123,0.124,0.605,0.266,0.798,Confused
0.658,0.93,0.159,0.851,0.867,0.364,0.303,0.48,0.37,0.739,Confused
0.881,0.883,0.032,0.872,0.029,0.326,0.309,0.586,0.404,0.935,Confused
0.507,0.93,0.166,0.006,0.287,0.345,0.201,0.448,0.423,0.652,Confused
0.107,0.847,0.156,0.761,0.541,0.262,0.29,0.59,0.278,0.992,Confused
0.068,0.985,0.138,0.301,0.708,0.381,0.29,0.431,0.48,0.737,Confused
0.969,0.627,0.195,0.75,0.13,0.361,0.204,0.414,0.386,0.833,Confused
0.446,0.903,0.137,0.274,0.997,0.331,0.107,0.547,0.297,0.61,Confused
0.68,0.77,0.016,0.655,0.273,0.166,0.149,0.608,0.438,0.781,Confused
0.274,0.98,0.08,0.984,0.409,0.292,0.23,0.526,0.483,0.66,Confused
0.473,0.958,0.173,0.968,0.186,0.211,0.164,0.596,0.209,0.692,Confused
0.033,0.947,0.026,0.921,0.617,0.288,0.331,0.628,0.453,0.911,Confused
0.492,0.919,0.04,0.064,0.582,0.229,0.135,0.606,0.238,0.793,Confused
0.48,0.708,0.078,0.6,0.292,0.122,0.193,0.403,0.337,0.919,Confused
0.987,0.878,0.048,0.142,0.499,0.131,0.334,0.544,0.212,0.944,Confused
0.351,0.847,0.018,0.033,0.079,0.255,0.268,0.498,0.203,0.881,Confused
0.105,0.759,0.033,0.636,0.706,0.16,0.27,0.64,0.407,0.653,Confused
0.802,0.613,0.143,0.339,0.815,0.361,0.116,0.613,0.362,0.974,Confused
0.732,0.632,0.105,0.082,0.06,0.293,0.264,0.536,0.445,0.958,Confused
0.79,0.699,0.036,0.659,0.498,0.201,0.362,0.693,0.266,0.664,Confused
0.68,0.822,0.04,0.072,0.031,0.295,0.169,0.692,0.499,0.888,Confused
0.371,0.703,0.069,0.988,0.04,0.228,0.36,0.623,0.418,0.785,Confused
0.422,0.947,0.18,0.277,0.592,0.362,0.232,0.546,0.418,0.831,Confused
0.909,0.965,0.143,0.18,0.238,0.139,0.287,0.62,0.389,0.684,Confused
0.515,0.989,0.089,0.359,0.593,0.361,0.356,0.474,0.348,0.672,Confused
0.131,0.665,0.155,0.97,0.454,0.198,0.391,0.597,0.277,0.756,Confused
0.249,0.694,0.086,0.617,0.707,0.349,0.151,0.501,0.356,0.629,Confused
0.806,0.667,0.169,0.585,0.868,0.242,0.111,0.599,0.421,0.667,Confused
0.122,0.682,0.008,0.452,0.934,0.381,0.181,0.559,0.217,0.645,Confused
0.952,0.726,0.001,0.639,0.868,0.39,0.112,0.696,0.245,0.803,Confused
0.705,0.782,0.062,0.202,0.673,0.109,0.247,0.442,0.4,0.806,Confused
0.838,0.988,0.139,0.945,0.683,0.153,0.302,0.66,0.333,0.638,Confused
0.677,0.799,0.138,0.216,0.659,0.379,0.361,0.409,0.371,0.847,Confused
0.407,0.758,0.195,0.871,0.782,0.114,0.132,0.7,0.397,0.86,Confused
0.762,0.827,0.162,0.798,0.436,0.3,0.364,0.498,0.321,0.895,Confused
0.695,0.927,0.079,0.389,0.449,0.21,0.263,0.497,0.202,0.648,Confused
0.463,0.695,0.124,0.38,0.863,0.3,0.168,0.581,0.222,0.749,Confused
0.534,0.808,0.116,0.608,0.765,0.22,0.108,0.514,0.302,0.792,Confused
0.898,0.925,0.129,0.243,0.927,0.102,0.387,0.459,0.205,0.887,Confused
0.307,0.624,0.057,0.803,0.539,0.177,0.205,0.546,0.23,0.974,Confused
0.681,0.725,0.036,0.181,0.525,0.137,0.315,0.524,0.282,0.844,Confused
0.55,0.884,0.161,0.043,0.633,0.245,0.27,0.689,0.277,0.643,Confused
0.411,0.981,0.122,0.84,0.9,0.164,0.346,0.468,0.465,0.841,Confused
0.096,0.741,0.134,0.624,0.452,0.227,0.334,0.647,0.282,0.695,Confused
0.642,0.835,0.005,0.607,0.547,0.129,0.321,0.465,0.459,0.667,Confused
0.404,0.693,0.139,0.428,0.718,0.141,0.278,0.696,0.349,0.756,Confused
0.079,0.877,0.055,0.086,0.894,0.274,0.139,0.617,0.231,0.997,Confused
0.8,0.677,0.014,0.234,0.54,0.256,0.168,0.421,0.306,0.729,Confused
0.662,0.952,0.199,0.558,0.731,0.301,0.26,0.5,0.297,0.86,Confused
0.536,0.786,0.04,0.097,0.45,0.307,0.269,0.453,0.487,0.624,Confused
0.152,0.902,0.08,0.992,0.927,0.17,0.299,0.678,0.439,0.739,Confused
0.826,0.816,0.026,0.782,0.709,0.327,0.256,0.427,0.387,0.937,Confused
0.306,0.614,0.111,0.397,0.447,0.381,0.179,0.426,0.308,0.721,Confused
0.931,0.84,0.042,0.116,0.817,0.355,0.376,0.698,0.349,0.806,Confused
0.403,0.752,0.016,0.174,0.695,0.191,0.36,0.637,0.442,0.951,Confused
0.487,0.738,0.185,0.606,0.765,0.359,0.292,0.44,0.447,0.99,Confused
0.135,0.67,0.005,0.963,0.55,0.12,0.22,0.51,0.244,0.801,Confused
0.216,0.986,0.128,0.62,0.65,0.132,0.194,0.532,0.352,0.773,Confused
0.695,0.661,0.012,0.984,0.239,0.398,0.334,0.417,0.338,0.625,Confused
0.997,0.657,0.102,0.814,0.615,0.119,0.191,0.608,0.23,0.649,Confused
0.195,0.723,0.09,0.368,0.414,0.366,0.258,0.439,0.328,0.85,Confused
0.26,0.931,0.004,0.76,0.137,0.244,0.331,0.525,0.203,0.893,Confused
0.488,0.814,0.192,0.11,0.548,0.34,0.104,0.693,0.272,0.686,Confused
0.476,0.782,0.147,0.376,0.394,0.197,0.129,0.445,0.346,0.938,Confused
0.438,0.784,0.138,0.255,0.841,0.195,0.368,0.636,0.487,0.914,Confused
0.614,0.615,0.127,0.067,0.518,0.369,0.238,0.598,0.391,0.961,Confused
0.072,0.66,0.143,0.071,0.012,0.125,0.254,0.413,0.404,0.895,Confused
0.185,0.983,0.132,0.174,0.098,0.332,0.206,0.505,0.289,0.895,Confused
0.769,0.864,0.059,0.625,0.382,0.39,0.18,0.425,0.206,0.906,Confused
0.968,0.682,0.008,0.799,0.293,0.259,0.285,0.593,0.432,0.649,Confused
0.338,0.992,0.026,0.928,0.225,0.297,0.275,0.644,0.424,0.841,Confused
0.197,0.749,0.024,0.887,0.646,0.172,0.232,0.683,0.384,0.773,Confused
0.461,0.714,0.151,0.842,0.728,0.176,0.358,0.676,0.454,0.926,Confused
0.165,0.911,0.009,0.132,0.726,0.381,0.153,0.695,0.364,0.862,Confused
0.508,0.927,0.118,0.298,0.565,0.263,0.252,0.62,0.452,0.685,Confused
0.247,0.876,0.002,0.726,0.992,0.238,0.291,0.448,0.428,0.949,Confused
0.188,0.64,0.123,0.355,0.784,0.32,0.34,0.567,0.261,0.761,Confused
0.368,0.822,0.192,0.327,0.149,0.161,0.328,0.624,0.211,0.602,Confused
0.593,0.722,0.177,0.392,0.413,0.317,0.399,0.535,0.31,0.951,Confused
0.481,0.878,0.118,0.642,0.065,0.128,0.286,0.638,0.307,0.601,Confused
0.825,0.832,0.054,0.498,0.077,0.341,0.268,0.603,0.381,0.825,Confused
0.147,0.623,0.088,0.328,0.434,0.255,0.335,0.637,0.412,0.734,Confused
0.421,0.635,0.129,0.636,0.786,0.38,0.279,0.7,0.421,0.688,Confused
0.362,0.647,0.037,0.335,0.026,0.276,0.352,0.572,0.315,0.764,Confused
0.43,0.61,0.052,0.873,0.842,0.382,0.182,0.49,0.355,0.933,Confused
0.496,0.674,0.146,0.437,0.73,0.124,0.237,0.44,0.345,0.921,Confused
0.069,0.906,0.191,0.057,0.282,0.297,0.283,0.625,0.241,0.664,Confused
0.777,0.152,0.09,0.065,0.488,0.705,0.774,0.275,0.272,0.382,Bored
0.9,0.082,0.069,0.022,0.664,0.613,0.719,0.242,0.272,0.46,Bored
0.981,0.052,0.146,0.257,0.654,0.985,0.868,0.216,0.281,0.426,Bored
0.151,0.07,0.023,0.225,0.251,0.679,0.87,0.492,0.139,0.483,Bored
0.708,0.145,0.014,0.544,0.082,0.94,0.868,0.234,0.157,0.558,Bored
0.412,0.134,0.092,0.651,0.545,0.783,0.845,0.484,0.05,0.555,Bored
0.259,0.157,0.04,0.165,0.33,0.625,0.854,0.338,0.242,0.316,Bored
0.451,0.174,0.048,0.985,0.772,0.903,0.856,0.463,0.061,0.564,Bored
0.657,0.1,0.021,0.822,0.38,0.611,0.72,0.473,0.139,0.462,Bored
0.635,0.159,0.116,0.798,0.396,0.91,0.989,0.357,0.061,0.386,Bored
0.906,0.063,0.171,0.277,0.984,0.966,0.86,0.409,0.047,0.538,Bored
0.615,0.03,0.088,0.083,0.882,0.656,0.761,0.468,0.055,0.496,Bored
0.166,0.134,0.127,0.882,0.427,0.921,0.852,0.325,0.29,0.595,Bored
0.731,0.178,0.016,0.187,0.858,0.665,0.704,0.358,0.168,0.516,Bored
0.358,0.164,0.092,0.494,0.828,0.928,0.862,0.294,0.213,0.441,Bored
0.348,0.048,0.028,0.45,0.749,0.734,0.752,0.448,0.214,0.33,Bored
0.126,0.196,0.127,0.676,0.325,0.86,0.886,0.452,0.106,0.441,Bored
0.643,0.167,0.056,0.694,0.513,0.875,0.721,0.457,0.052,0.368,Bored
0.766,0.188,0.174,0.788,0.665,0.722,0.764,0.291,0.01,0.496,Bored
0.865,0.089,0.092,0.547,0.38,0.704,0.972,0.368,0.201,0.333,Bored
0.858,0.184,0.056,0.292,0.911,0.991,0.733,0.213,0.127,0.522,Bored
0.282,0.061,0.166,0.873,0.113,0.902,0.941,0.489,0.005,0.518,Bored
0.598,0.094,0.06,0.297,0.3,0.881,0.862,0.273,0.029,0.304,Bored
0.185,0.119,0.178,0.079,0.24,0.897,0.714,0.456,0.271,0.5,Bored
0.831,0.104,0.013,0.599,0.115,0.918,0.71,0.499,0.175,0.557,Bored
0.43,0.114,0.103,0.317,0.435,0.638,0.973,0.449,0.201,0.564,Bored
0.703,0.126,0.118,0.237,0.512,0.91,0.881,0.333,0.268,0.482,Bored
0.506,0.12,0.149,0.634,0.071,0.642,0.815,0.396,0.146,0.585,Bored
0.331,0.055,0.194,0.482,0.196,0.702,0.809,0.214,0.142,0.342,Bored
0.037,0.002,0.044,0.108,0.339,0.844,0.784,0.355,0.062,0.302,Bored
0.617,0.079,0.017,0.114,0.345,0.921,0.872,0.288,0.154,0.58,Bored
0.395,0.026,0.055,0.422,0.411,0.803,0.962,0.411,0.148,0.598,Bored
0.002,0.191,0.164,0.636,0.051,0.963,0.914,0.293,0.182,0.547,Bored
0.369,0.077,0.091,0.121,0.419,0.703,0.718,0.406,0.181,0.334,Bored
0.362,0.134,0.136,0.594,0.01,0.9,0.721,0.306,0.024,0.583,Bored
0.066,0.024,0.18,0.534,0.142,0.854,0.974,0.462,0.184,0.517,Bored
0.559,0.009,0.025,0.343,0.729,0.605,0.827,0.346,0.089,0.473,Bored
0.789,0.055,0.061,0.446,0.798,0.861,0.954,0.329,0.208,0.502,Bored
0.601,0.116,0.074,0.706,0.688,0.929,0.957,0.329,0.275,0.396,Bored
0.025,0.069,0.031,0.646,0.637,0.75,0.75,0.243,0.129,0.567,Bored
0.218,0.121,0.073,0.988,0.454,0.736,0.722,0.293,0.123,0.503,Bored
0.039,0.193,0.077,0.031,0.388,0.875,0.742,0.208,0.146,0.452,Bored
0.956,0.18,0.023,0.314,0.888,0.664,0.707,0.338,0.227,0.387,Bored
0.34,0.078,0.077,0.541,0.154,0.841,0.948,0.287,0.295,0.588,Bored
0.195,0.06,0.052,0.058,0.342,0.821,0.863,0.45,0.229,0.432,Bored
0.626,0.028,0.089,0.489,0.402,0.708,0.99,0.304,0.167,0.474,Bored
0.039,0.04,0.079,0.476,0.543,0.998,0.964,0.371,0.187,0.486,Bored
0.791,0.174,0.026,0.125,0.794,0.691,0.989,0.417,0.273,0.46,Bored
0.864,0.196,0.097,0.589,0.375,0.71,0.963,0.245,0.283,0.439,Bored
0.866,0.098,0.115,0.981,0.408,0.714,0.761,0.316,0.229,0.453,Bored
0.439,0.022,0.171,0.847,0.893,0.931,0.929,0.487,0.172,0.36,Bored
0.477,0.185,0.004,0.688,0.723,0.625,0.965,0.353,0.134,0.488,Bored
0.957,0.056,0.042,0.009,0.998,0.877,0.74,0.308,0.09,0.541,Bored
0.143,0.167,0.148,0.753,0.769,0.871,0.949,0.204,0.088,0.521,Bored
0.408,0.098,0.016,0.407,0.066,0.863,0.93,0.384,0.254,0.327,Bored
0.3,0.191,0.105,0.077,0.501,0.74,0.733,0.484,0.242,0.322,Bored
0.281,0.059,0.046,0.803,0.929,0.918,0.912,0.222,0.015,0.421,Bored
0.603,0.128,0.196,0.358,0.648,0.762,0.972,0.343,0.096,0.368,Bored
0.683,0.125,0.014,0.242,0.714,0.649,0.967,0.335,0.151,0.476,Bored
0.497,0.155,0.054,0.284,0.134,0.929,0.941,0.356,0.166,0.343,Bored
0.276,0.102,0.009,0.707,0.063,0.852,0.716,0.295,0.225,0.3,Bored
0.27,0.02,0.072,0.843,0.313,0.936,0.701,0.422,0.074,0.395,Bored
0.687,0.193,0.018,0.494,0.388,0.916,0.968,0.473,0.13,0.413,Bored
0.761,0.133,0.193,0.951,0.703,0.853,0.911,0.25,0.001,0.514,Bored
0.5,0.072,0.191,0.433,0.458,0.719,0.732,0.393,0.235,0.314,Bored
0.85,0.083,0.164,0.212,0.657,0.684,0.811,0.216,0.111,0.53,Bored
0.652,0.059,0.027,0.739,0.316,0.789,0.964,0.403,0.065,0.482,Bored
0.058,0.057,0.074,0.112,0.516,0.858,0.819,0.26,0.214,0.567,Bored
0.414,0.004,0.025,0.493,0.404,0.707,0.951,0.314,0.004,0.401,Bored
0.312,0.104,0.136,0.774,0.773,0.812,0.879,0.339,0.003,0.589,Bored
0.266,0.161,0.024,0.018,0.293,0.809,0.993,0.205,0.038,0.531,Bored
0.974,0.06,0.129,0.847,0.024,0.909,0.855,0.312,0.104,0.3,Bored
0.228,0.061,0.013,0.247,0.484,0.959,0.935,0.337,0.234,0.419,Bored
0.544,0.157,0.198,0.963,0.076,0.899,0.842,0.487,0.017,0.583,Bored
0.147,0.156,0.116,0.811,0.636,0.746,0.768,0.242,0.059,0.487,Bored
0.89,0.058,0.094,0.708,0.062,0.755,0.902,0.304,0.078,0.575,Bored
0.242,0.192,0.106,0.501,0.68,0.659,0.702,0.334,0.189,0.34,Bored
0.166,0.087,0.009,0.446,0.209,0.63,0.782,0.338,0.242,0.464,Bored
0.197,0.048,0.192,0.951,0.995,0.62,0.953,0.438,0.294,0.556,Bored
0.622,0.119,0.015,0.981,0.19,0.885,0.994,0.278,0.171,0.431,Bored
0.162,0.195,0.151,0.477,0.718,0.917,0.972,0.488,0.283,0.456,Bored
0.012,0.154,0.1,0.009,0.357,0.699,0.892,0.249,0.2,0.47,Bored
0.095,0.17,0.146,0.429,0.029,0.97,0.769,0.267,0.19,0.397,Bored
0.045,0.184,0.199,0.761,0.372,0.792,0.899,0.287,0.036,0.419,Bored
0.251,0.071,0.158,0.564,0.359,0.757,0.926,0.485,0.276,0.473,Bored
0.039,0.101,0.044,0.036,0.175,0.863,0.772,0.475,0.057,0.331,Bored
0.759,0.116,0.103,0.282,0.353,0.947,0.785,0.374,0.285,0.431,Bored
0.205,0.095,0.1,0.591,0.186,0.958,0.984,0.326,0.268,0.534,Bored
0.409,0.188,0.101,0.811,0.836,0.733,0.957,0.221,0.062,0.321,Bored
0.282,0.175,0.108,0.425,0.038,0.733,0.908,0.396,0.231,0.345,Bored
0.226,0.011,0.195,0.304,0.304,0.651,0.93,0.325,0.0,0.457,Bored
0.848,0.133,0.148,0.423,0.303,0.692,0.7,0.49,0.219,0.367,Bored
0.985,0.18,0.161,0.754,0.393,0.73,0.914,0.254,0.245,0.411,Bored
0.584,0.033,0.156,0.952,0.042,0.836,0.898,0.363,0.024,0.513,Bored
0.509,0.021,0.103,0.369,0.933,0.706,0.88,0.414,0.089,0.528,Bored
0.862,0.139,0.146,0.274,0.807,0.931,0.909,0.339,0.214,0.576,Bored
0.562,0.14,0.145,0.947,0.496,0.678,0.804,0.494,0.101,0.557,Bored
0.011,0.005,0.168,0.704,0.97,0.752,0.749,0.42,0.236,0.415,Bored
0.505,0.193,0.01,0.718,0.863,0.775,0.77,0.445,0.211,0.464,Bored
0.31,0.173,0.031,0.29,0.871,0.672,0.94,0.319,0.166,0.34,Bored
0.012,0.281,0.869,0.674,0.052,0.267,0.375,0.587,0.919,0.572,Frustrated
0.405,0.247,0.82,0.068,0.784,0.167,0.392,0.506,0.715,0.586,Frustrated
0.642,0.289,0.714,0.671,0.632,0.175,0.506,0.5,0.773,0.417,Frustrated
0.98,0.186,0.68,0.068,0.519,0.155,0.525,0.43,0.767,0.483,Frustrated
0.347,0.185,0.672,0.398,0.264,0.241,0.334,0.521,0.988,0.621,Frustrated
0.077,0.221,0.682,0.076,0.951,0.294,0.381,0.486,0.793,0.597,Frustrated
0.965,0.103,0.719,0.251,0.676,0.153,0.48,0.587,0.637,0.595,Frustrated
0.106,0.289,0.883,0.155,0.945,0.273,0.394,0.481,0.844,0.579,Frustrated
0.015,0.182,0.895,0.583,0.253,0.236,0.361,0.576,0.953,0.61,Frustrated
0.102,0.295,0.78,0.008,0.434,0.234,0.42,0.652,0.983,0.457,Frustrated
0.009,0.245,0.637,0.589,0.613,0.187,0.574,0.53,0.899,0.478,Frustrated
0.014,0.248,0.855,0.248,0.214,0.275,0.514,0.427,0.697,0.46,Frustrated
0.081,0.235,0.708,0.951,0.838,0.221,0.319,0.538,0.699,0.62,Frustrated
0.738,0.249,0.922,0.521,0.068,0.223,0.58,0.563,0.929,0.46,Frustrated
